sample	population	latitude	longitude
NA18536	CHB	39.9042	116.4074
NA18538	CHB	39.9042	116.4074
NA18541	CHB	39.9042	116.4074
NA18552	CHB	39.9042	116.4074
NA18553	CHB	39.9042	116.4074
NA18555	CHB	39.9042	116.4074
NA18557	CHB	39.9042	116.4074
NA18562	CHB	39.9042	116.4074
NA18564	CHB	39.9042	116.4074
NA18573	CHB	39.9042	116.4074
NA18574	CHB	39.9042	116.4074
NA18606	CHB	39.9042	116.4074
NA18611	CHB	39.9042	116.4074
NA18612	CHB	39.9042	116.4074
NA18613	CHB	39.9042	116.4074
NA18616	CHB	39.9042	116.4074
NA18617	CHB	39.9042	116.4074
NA18638	CHB	39.9042	116.4074
NA18643	CHB	39.9042	116.4074
NA18647	CHB	39.9042	116.4074
HG00099	GBR	51.5074	-0.1278
HG00101	GBR	51.5074	-0.1278
HG00115	GBR	51.5074	-0.1278
HG00117	GBR	51.5074	-0.1278
HG00121	GBR	51.5074	-0.1278
HG00122	GBR	51.5074	-0.1278
HG00123	GBR	51.5074	-0.1278
HG00125	GBR	51.5074	-0.1278
HG00132	GBR	51.5074	-0.1278
HG00136	GBR	51.5074	-0.1278
HG00137	GBR	51.5074	-0.1278
HG00141	GBR	51.5074	-0.1278
HG00149	GBR	51.5074	-0.1278
HG00151	GBR	51.5074	-0.1278
HG00233	GBR	51.5074	-0.1278
HG00240	GBR	51.5074	-0.1278
HG00250	GBR	51.5074	-0.1278
HG00253	GBR	51.5074	-0.1278
HG00258	GBR	51.5074	-0.1278
HG02215	GBR	51.5074	-0.1278
HG03713	ITU	51.5074	-0.1278
HG03718	ITU	51.5074	-0.1278
HG03770	ITU	51.5074	-0.1278
HG03773	ITU	51.5074	-0.1278
HG03784	ITU	51.5074	-0.1278
HG03788	ITU	51.5074	-0.1278
HG03867	ITU	51.5074	-0.1278
HG03871	ITU	51.5074	-0.1278
HG03872	ITU	51.5074	-0.1278
HG03873	ITU	51.5074	-0.1278
HG03974	ITU	51.5074	-0.1278
HG03977	ITU	51.5074	-0.1278
HG03978	ITU	51.5074	-0.1278
HG04017	ITU	51.5074	-0.1278
HG04056	ITU	51.5074	-0.1278
HG04059	ITU	51.5074	-0.1278
HG04070	ITU	51.5074	-0.1278
HG04200	ITU	51.5074	-0.1278
HG04225	ITU	51.5074	-0.1278
HG04235	ITU	51.5074	-0.1278
NA19024	LWK	0.6075	34.7697
NA19030	LWK	0.6075	34.7697
NA19037	LWK	0.6075	34.7697
NA19317	LWK	0.6075	34.7697
NA19318	LWK	0.6075	34.7697
NA19320	LWK	0.6075	34.7697
NA19321	LWK	0.6075	34.7697
NA19328	LWK	0.6075	34.7697
NA19331	LWK	0.6075	34.7697
NA19334	LWK	0.6075	34.7697
NA19338	LWK	0.6075	34.7697
NA19360	LWK	0.6075	34.7697
NA19383	LWK	0.6075	34.7697
NA19385	LWK	0.6075	34.7697
NA19393	LWK	0.6075	34.7697
NA19395	LWK	0.6075	34.7697
NA19446	LWK	0.6075	34.7697
NA19451	LWK	0.6075	34.7697
NA19456	LWK	0.6075	34.7697
NA19474	LWK	0.6075	34.7697
HG01566	PEL	-12.0464	-77.0428
HG01571	PEL	-12.0464	-77.0428
HG01577	PEL	-12.0464	-77.0428
HG01578	PEL	-12.0464	-77.0428
HG01917	PEL	-12.0464	-77.0428
HG01918	PEL	-12.0464	-77.0428
HG01927	PEL	-12.0464	-77.0428
HG01933	PEL	-12.0464	-77.0428
HG01938	PEL	-12.0464	-77.0428
HG01942	PEL	-12.0464	-77.0428
HG01950	PEL	-12.0464	-77.0428
HG01961	PEL	-12.0464	-77.0428
HG01967	PEL	-12.0464	-77.0428
HG01974	PEL	-12.0464	-77.0428
HG02002	PEL	-12.0464	-77.0428
HG02146	PEL	-12.0464	-77.0428
HG02278	PEL	-12.0464	-77.0428
HG02301	PEL	-12.0464	-77.0428
HG02345	PEL	-12.0464	-77.0428
HG02425	PEL	-12.0464	-77.0428
HG00637	PUR	18.4655	-66.1057
HG00731	PUR	18.4655	-66.1057
HG00742	PUR	18.4655	-66.1057
HG01048	PUR	18.4655	-66.1057
HG01054	PUR	18.4655	-66.1057
HG01058	PUR	18.4655	-66.1057
HG01061	PUR	18.4655	-66.1057
HG01067	PUR	18.4655	-66.1057
HG01077	PUR	18.4655	-66.1057
HG01086	PUR	18.4655	-66.1057
HG01088	PUR	18.4655	-66.1057
HG01098	PUR	18.4655	-66.1057
HG01101	PUR	18.4655	-66.1057
HG01161	PUR	18.4655	-66.1057
HG01177	PUR	18.4655	-66.1057
HG01182	PUR	18.4655	-66.1057
HG01303	PUR	18.4655	-66.1057
HG01305	PUR	18.4655	-66.1057
HG01308	PUR	18.4655	-66.1057
HG01396	PUR	18.4655	-66.1057
HG03686	STU	51.5074	-0.1278
HG03692	STU	51.5074	-0.1278
HG03695	STU	51.5074	-0.1278
HG03740	STU	51.5074	-0.1278
HG03744	STU	51.5074	-0.1278
HG03756	STU	51.5074	-0.1278
HG03760	STU	51.5074	-0.1278
HG03836	STU	51.5074	-0.1278
HG03856	STU	51.5074	-0.1278
HG03857	STU	51.5074	-0.1278
HG03858	STU	51.5074	-0.1278
HG03885	STU	51.5074	-0.1278
HG03888	STU	51.5074	-0.1278
HG03943	STU	51.5074	-0.1278
HG03949	STU	51.5074	-0.1278
HG03989	STU	51.5074	-0.1278
HG03990	STU	51.5074	-0.1278
HG03995	STU	51.5074	-0.1278
HG03998	STU	51.5074	-0.1278
HG04039	STU	51.5074	-0.1278
NA18501	YRI	7.3776	3.9059
NA18516	YRI	7.3776	3.9059
NA18517	YRI	7.3776	3.9059
NA18874	YRI	7.3776	3.9059
NA18876	YRI	7.3776	3.9059
NA18878	YRI	7.3776	3.9059
NA18907	YRI	7.3776	3.9059
NA18908	YRI	7.3776	3.9059
NA18916	YRI	7.3776	3.9059
NA18933	YRI	7.3776	3.9059
NA19118	YRI	7.3776	3.9059
NA19171	YRI	7.3776	3.9059
NA19172	YRI	7.3776	3.9059
NA19185	YRI	7.3776	3.9059
NA19190	YRI	7.3776	3.9059
NA19209	YRI	7.3776	3.9059
NA19210	YRI	7.3776	3.9059
